finding_id,severity,authority,check,proposed_label,id_column,id_value,csv_value,authority_value,n_rows,datasets,detail
74164a749451,ERROR,ncbi,ncbi_lineage_contradiction,tontonia gracillima,NCBI_ID,641222,Genus=tontonia,(absent from chain),1,whoi,'tontonia' is absent from the authority's classification of 641222
a5ddb55fca83,ERROR,ncbi,ncbi_lineage_contradiction,tontonia gracillima,NCBI_ID,641222,Species=tontonia gracillima,(absent from chain),1,whoi,'tontonia gracillima' is absent from the authority's classification of 641222
6fdbc0afd866,ERROR,ncbi,ncbi_name_mismatch,cyanobacteria,NCBI_ID,1117,cyanobacteria,Cyanobacteriota,10,daplankton;flowcamnet;planktoscope;syke_ifcb_2022;tara_pacific_bongo;tara_pacific_decknet;tara_pacific_hsn,the taxid names neither the CSV label nor any NCBI synonym of it
48ec601bd71c,ERROR,ncbi,ncbi_name_mismatch,leptocylindrus mediterraneus,NCBI_ID,1785165,leptocylindrus mediterraneus,Dactyliosolen mediterraneus,2,planktoscope;whoi,the taxid names neither the CSV label nor any NCBI synonym of it
cdfc35605762,ERROR,ncbi,ncbi_name_mismatch,lioloma pacificum,NCBI_ID,3471099,lioloma pacificum,Lioloma cf. pacificum,1,medplanktonset,the taxid names neither the CSV label nor any NCBI synonym of it
25e5b60f390c,ERROR,ncbi,ncbi_name_mismatch,pyrosomatida,NCBI_ID,76842,pyrosomatida,Pyrosomata,3,global_uvp5;tara_pacific_manta;zooscan,the taxid names neither the CSV label nor any NCBI synonym of it
8de70dc65dd2,ERROR,ncbi,ncbi_name_mismatch,radiozoa,NCBI_ID,543769,radiozoa,Rhizaria,7,jedioceans;medplanktonset;planktonset1.0;planktoscope,the taxid names neither the CSV label nor any NCBI synonym of it
32f45b2cc88e,ERROR,ncbi,ncbi_name_mismatch,sinodiaptomus valkano,NCBI_ID,555049,sinodiaptomus valkano,Sinodiaptomus valkanovi,1,frepj,the taxid names neither the CSV label nor any NCBI synonym of it
32898df17b9d,ERROR,ncbi,ncbi_name_mismatch,zoothamniidae,NCBI_ID,168255,zoothamniidae,Zoothamnidae,2,planktoscope;tara_pacific_decknet,the taxid names neither the CSV label nor any NCBI synonym of it
7f85b6d61c09,ERROR,wikidata,wikidata_name_mismatch,discosphaera tubifera,wikidata_ID,Q23059044,discosphaera tubifera,Discosphaera tubifer,1,medplanktonset,neither the P225 taxon name nor the English label matches the CSV label
41fa3a29f676,ERROR,wikidata,wikidata_name_mismatch,haslea silbo,wikidata_ID,Q123283803,haslea silbo,"Haslea silbo, A Novel Cosmopolitan Species of Blue Diatoms",1,medplanktonset,neither the P225 taxon name nor the English label matches the CSV label
6a8ba6edb32d,ERROR,wikidata,wikidata_name_mismatch,kapelodinium vestifici,wikidata_ID,Q25364681,kapelodinium vestifici,Torodinium,1,medplanktonset,neither the P225 taxon name nor the English label matches the CSV label
179b9249c58c,ERROR,wikidata,wikidata_name_mismatch,polycystina,wikidata_ID,Q3314313,polycystina,Polycystinea,2,global_uvp5,neither the P225 taxon name nor the English label matches the CSV label
f48c10c0e924,ERROR,wikidata,wikidata_name_mismatch,sinodiaptomus valkano,wikidata_ID,Q14343118,sinodiaptomus valkano,Sinodiaptomus valkanovi,1,frepj,neither the P225 taxon name nor the English label matches the CSV label
60156c3276ad,ERROR,worms,worms_lineage_contradiction,actinosphaerium nucleofilum,aphia_ID,590589,Family=actinosphaeriidae,(absent from chain),1,lensless,'actinosphaeriidae' is absent from the authority's classification of 590589
5e2a0e5ee2f5,ERROR,worms,worms_lineage_contradiction,ascomorpha,aphia_ID,134951,Family=gastropoidae,(absent from chain),1,frepj,'gastropoidae' is absent from the authority's classification of 134951
be1c1188e3fa,ERROR,worms,worms_lineage_contradiction,branchiostoma lanceolatum,aphia_ID,104906,Order=amphioxiformes,(absent from chain),1,tara_pacific_manta,'amphioxiformes' is absent from the authority's classification of 104906
cfe30c259b2b,ERROR,worms,worms_lineage_contradiction,collotheca,aphia_ID,134929,Order=collothecacea,(absent from chain),1,frepj,'collothecacea' is absent from the authority's classification of 134929
38049e858d2e,ERROR,worms,worms_lineage_contradiction,echidnophaga,aphia_ID,112045,Kingdom=animalia,(absent from chain),1,global_uvp5,'animalia' is absent from the authority's classification of 112045
b65c2c33a223,ERROR,worms,worms_lineage_contradiction,echidnophaga,aphia_ID,112045,Phylum=arthropoda,(absent from chain),1,global_uvp5,'arthropoda' is absent from the authority's classification of 112045
937795ed2f1e,ERROR,worms,worms_lineage_contradiction,echidnophaga,aphia_ID,112045,Class=hexapoda,(absent from chain),1,global_uvp5,'hexapoda' is absent from the authority's classification of 112045
33203f76df04,ERROR,worms,worms_lineage_contradiction,echidnophaga,aphia_ID,112045,Family=pulicidae,(absent from chain),1,global_uvp5,'pulicidae' is absent from the authority's classification of 112045
b347a3bbcc02,ERROR,worms,worms_lineage_contradiction,echidnophaga,aphia_ID,112045,Genus=echidnophaga,(absent from chain),1,global_uvp5,'echidnophaga' is absent from the authority's classification of 112045
991fea60a889,ERROR,worms,worms_lineage_contradiction,katablepharis remigera,aphia_ID,627117,Order=kathablepharidacea,(absent from chain),2,daplankton;syke_ifcb_2022,'kathablepharidacea' is absent from the authority's classification of 627117
2bf56a00c486,ERROR,worms,worms_lineage_contradiction,mediopyxis,aphia_ID,345484,Phylum=heterokontophyta,(absent from chain),1,planktoscope,'heterokontophyta' is absent from the authority's classification of 345484
8a4856b3d92f,ERROR,worms,worms_lineage_contradiction,mediopyxis,aphia_ID,345484,Class=bacillariophyceae,(absent from chain),1,planktoscope,'bacillariophyceae' is absent from the authority's classification of 345484
7e9225405c7a,ERROR,worms,worms_lineage_contradiction,mediopyxis,aphia_ID,345484,Order=lithodesmiales,(absent from chain),1,planktoscope,'lithodesmiales' is absent from the authority's classification of 345484
aba33cc74794,ERROR,worms,worms_lineage_contradiction,mediopyxis,aphia_ID,345484,Family=lithodesmiaceae,(absent from chain),1,planktoscope,'lithodesmiaceae' is absent from the authority's classification of 345484
19fcf45613d2,ERROR,worms,worms_lineage_contradiction,pseliodinium fusus,aphia_ID,1474876,Class=dinophyceae,(absent from chain),1,medplanktonset,'dinophyceae' is absent from the authority's classification of 1474876
e36cf921d886,ERROR,worms,worms_lineage_contradiction,pseliodinium fusus,aphia_ID,1474876,Order=peridiniales,(absent from chain),1,medplanktonset,'peridiniales' is absent from the authority's classification of 1474876
49ae527cb9ca,ERROR,worms,worms_lineage_contradiction,pseliodinium fusus,aphia_ID,1474876,Family=ceratoperidiniaceae,(absent from chain),1,medplanktonset,'ceratoperidiniaceae' is absent from the authority's classification of 1474876
8a0115193709,ERROR,worms,worms_lineage_contradiction,simocephalus serrulatus,aphia_ID,412852,Family=daphniida,(absent from chain),1,frepj,'daphniida' is absent from the authority's classification of 412852
8bb81d2e594b,ERROR,worms,worms_lineage_contradiction,simocephalus vetulus,aphia_ID,148404,Family=daphniida,(absent from chain),1,frepj,'daphniida' is absent from the authority's classification of 148404
e7ffcd97b0aa,ERROR,worms,worms_lineage_contradiction,sinodiaptomus valkano,aphia_ID,360601,Species=sinodiaptomus valkano,(absent from chain),1,frepj,'sinodiaptomus valkano' is absent from the authority's classification of 360601
ccf225d6fc7d,ERROR,worms,worms_lineage_contradiction,vorticella,aphia_ID,163573,Order=peritrichida,(absent from chain),2,frepj;tara_pacific_bongo,'peritrichida' is absent from the authority's classification of 163573
5ea823379991,ERROR,worms,worms_name_mismatch,actinosphaerium nucleofilum,aphia_ID,590589,actinosphaerium nucleofilum,Actinophryidae,1,lensless,the AphiaID names neither the CSV label nor its accepted synonym
6d3f92725eaa,ERROR,worms,worms_name_mismatch,sinodiaptomus valkano,aphia_ID,360601,sinodiaptomus valkano,Sinodiaptomus valkanovi,1,frepj,the AphiaID names neither the CSV label nor its accepted synonym
fa2b0c675d69,WARN,worms+ncbi,authority_depth_disagreement,actinosphaerium nucleofilum,aphia_ID+NCBI_ID,590589+238767,actinophryidae,actinosphaerium nucleofilum,1,lensless,the two registers resolve the row's identifiers to different depths of the same lineage
63c298015dc4,WARN,worms+ncbi,authority_depth_disagreement,aphanothece parallelliformis,aphia_ID+NCBI_ID,249704+1121,aphanothece parallelliformis,aphanothece,1,syke_ifcb_2022,the two registers resolve the row's identifiers to different depths of the same lineage
9051c004a4f8,WARN,worms+ncbi,authority_depth_disagreement,asterionella bleakeleyi,aphia_ID+NCBI_ID,149375+35129,asterionella bleakeleyi,asterionella,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
19dbd8edb311,WARN,worms+ncbi,authority_depth_disagreement,asteromphalus sarcophagus,aphia_ID+NCBI_ID,394598+1529359,asteromphalus sarcophagus,asteromphalus,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
8334f3f0aa11,WARN,worms+ncbi,authority_depth_disagreement,blepharisma americanum,aphia_ID+NCBI_ID,178694+5960,blepharisma,blepharisma americanum,1,lensless,the two registers resolve the row's identifiers to different depths of the same lineage
9b862b03f79c,WARN,worms+ncbi,authority_depth_disagreement,bodonida,aphia_ID+NCBI_ID,562574+5653,bodonida,kinetoplastea,1,whoi,the two registers resolve the row's identifiers to different depths of the same lineage
8b38b82de61e,WARN,worms+ncbi,authority_depth_disagreement,calciopappus caudatus,aphia_ID+NCBI_ID,235924+418932,calciopappus caudatus,syracosphaeraceae,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
e7b39a337ce3,WARN,worms+ncbi,authority_depth_disagreement,calciosolenia brasiliensis,aphia_ID+NCBI_ID,555889+418928,calciosolenia brasiliensis,syracosphaerales,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
4ac213559c82,WARN,worms+ncbi,authority_depth_disagreement,centrales,aphia_ID+NCBI_ID,341285+33849,centrales,bacillariophyceae,3,daplankton;medplanktonset;syke_ifcb_2022,the two registers resolve the row's identifiers to different depths of the same lineage
093d59d11c58,WARN,worms+ncbi,authority_depth_disagreement,chaoborus,aphia_ID+NCBI_ID,118088+41812,diptera,chaoborus,2,frepj;zoolake,the two registers resolve the row's identifiers to different depths of the same lineage
997ccea9593e,WARN,worms+ncbi,authority_depth_disagreement,chrysochromulina lanceolata,aphia_ID+NCBI_ID,388470+35140,chrysochromulina lanceolata,chrysochromulina,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
62cb959f9975,WARN,worms+ncbi,authority_depth_disagreement,cladopyxis,aphia_ID+NCBI_ID,109509+1129411,cladopyxis,cladopyxidaceae,4,flowcamnet;planktoscope;tara_pacific_bongo;tara_pacific_decknet,the two registers resolve the row's identifiers to different depths of the same lineage
5d15def85f9e,WARN,worms+ncbi,authority_depth_disagreement,cladopyxis brachiolata,aphia_ID+NCBI_ID,109989+1129411,cladopyxis brachiolata,cladopyxidaceae,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
060ac49f9d2f,WARN,worms+ncbi,authority_depth_disagreement,corythodinium,aphia_ID+NCBI_ID,109527+240356,corythodinium,oxytoxaceae,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
b0541da46f90,WARN,worms+ncbi,authority_depth_disagreement,corythodinium constrictum,aphia_ID+NCBI_ID,248059+240356,corythodinium constrictum,oxytoxaceae,2,medplanktonset;planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
946fa6007a14,WARN,worms+ncbi,authority_depth_disagreement,corythodinium milneri,aphia_ID+NCBI_ID,643805+240356,corythodinium milneri,oxytoxaceae,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
b077e6f18c8c,WARN,worms+ncbi,authority_depth_disagreement,corythodinium tesselatum,aphia_ID+NCBI_ID,110077+240356,corythodinium tesselatum,oxytoxaceae,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
15899239db2e,WARN,worms+ncbi,authority_depth_disagreement,dinobryon coalescens,aphia_ID+NCBI_ID,573858+98059,dinobryon coalescens,dinobryon,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
b235f26502a6,WARN,worms+ncbi,authority_depth_disagreement,dinophysis parva,aphia_ID+NCBI_ID,109643+47933,dinophysis parva,dinophysis,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
4791f2cfd112,WARN,worms+ncbi,authority_depth_disagreement,discosphaera tubifera,aphia_ID+NCBI_ID,573399+418941,discosphaera tubifera,rhabdosphaeraceae,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
030424ac57ff,WARN,worms+ncbi,authority_depth_disagreement,echidnophaga,aphia_ID+NCBI_ID,112045+475928,siphonaperta,echidnophaga,1,global_uvp5,the two registers resolve the row's identifiers to different depths of the same lineage
d3c43d21a2dd,WARN,worms+ncbi,authority_depth_disagreement,epicancella,aphia_ID+NCBI_ID,425630+1236001,epicancella,epiplocylididae,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
b2e870f4392e,WARN,worms+ncbi,authority_depth_disagreement,ethmodiscus gazellae,aphia_ID+NCBI_ID,573421+938126,coscinodiscus gazellae,ethmodiscus,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
a4e1b3e1e8d2,WARN,worms+ncbi,authority_depth_disagreement,euphysetta,aphia_ID+NCBI_ID,345873+332297,euphysetta,medusettidae,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
aec58927b455,WARN,worms+ncbi,authority_depth_disagreement,gephyrocapsa huxleyi,aphia_ID+NCBI_ID,236056+38816,gephyrocapsa huxleyi,gephyrocapsa,1,whoi,the two registers resolve the row's identifiers to different depths of the same lineage
3ebb7583c00c,WARN,worms+ncbi,authority_depth_disagreement,gossleriella,aphia_ID+NCBI_ID,602203+216785,gossleriella,coscinodiscales,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
6ee8f29dd504,WARN,worms+ncbi,authority_depth_disagreement,leegaardiella ovalis,aphia_ID+NCBI_ID,101206+1925000,leegaardiella ovalis,leegaardiella,1,whoi,the two registers resolve the row's identifiers to different depths of the same lineage
af8cc29acd8b,WARN,worms+ncbi,authority_depth_disagreement,melosira arctica,aphia_ID+NCBI_ID,149042+1453603,melosira,melosira arctica,2,daplankton;syke_ifcb_2022,the two registers resolve the row's identifiers to different depths of the same lineage
eb615b6e9fcb,WARN,worms+ncbi,authority_depth_disagreement,microstellaria,aphia_ID+NCBI_ID,1761472+160015,microstellaria,pyramidellidae,1,zoocamnet,the two registers resolve the row's identifiers to different depths of the same lineage
35d676c4cdaa,WARN,worms+ncbi,authority_depth_disagreement,neobrightwellia alternans,aphia_ID+NCBI_ID,148966+1003021,biddulphiaceae,neobrightwellia alternans,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
0eb390fd3729,WARN,worms+ncbi,authority_depth_disagreement,neomoelleria cornuta,aphia_ID+NCBI_ID,1324082+33849,neomoelleria cornuta,bacillariophyceae,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
3e1d61dd1703,WARN,worms+ncbi,authority_depth_disagreement,ophiaster,aphia_ID+NCBI_ID,115081+418932,ophiaster,syracosphaeraceae,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
309b2b474290,WARN,worms+ncbi,authority_depth_disagreement,oxytoxum caudatum,aphia_ID+NCBI_ID,110082+2950224,oxytoxum caudatum,oxytoxum,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
7787e0098ba1,WARN,worms+ncbi,authority_depth_disagreement,oxytoxum scolopax,aphia_ID+NCBI_ID,110115+2950224,oxytoxum scolopax,oxytoxum,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
0f36eef5d733,WARN,worms+ncbi,authority_depth_disagreement,oxytoxum variabile,aphia_ID+NCBI_ID,233868+2950224,oxytoxum variabile,oxytoxum,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
a0667c0bbec1,WARN,worms+ncbi,authority_depth_disagreement,parvicorbicula socialis,aphia_ID+NCBI_ID,105588+1925537,parvicorbicula socialis,parvicorbicula,1,whoi,the two registers resolve the row's identifiers to different depths of the same lineage
83cd48a75c9b,WARN,worms+ncbi,authority_depth_disagreement,pennales,aphia_ID+NCBI_ID,1304629+33849,pennales,bacillariophyceae,7,flowcamnet;medplanktonset;syke_ifcb_2022;whoi,the two registers resolve the row's identifiers to different depths of the same lineage
419f1e9f14dd,WARN,worms+ncbi,authority_depth_disagreement,poroecus,aphia_ID+NCBI_ID,415852+180938,poroecus,codonellidae,3,flowcamnet;tara_pacific_bongo;tara_pacific_decknet,the two registers resolve the row's identifiers to different depths of the same lineage
4e0fa5e33725,WARN,worms+ncbi,authority_depth_disagreement,protoperidinium diabolus,aphia_ID+NCBI_ID,110218+261839,protoperidinium diabolus,protoperidinium,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
5feace54b675,WARN,worms+ncbi,authority_depth_disagreement,pyramimonas longicauda,aphia_ID+NCBI_ID,160513+36882,pyramimonas longicauda,pyramimonas,1,whoi,the two registers resolve the row's identifiers to different depths of the same lineage
3aacc30eeefe,WARN,worms+ncbi,authority_depth_disagreement,pyrocystis hamulus,aphia_ID+NCBI_ID,232259+2971,pyrocystis hamulus,pyrocystis,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
75a7eaaca0a2,WARN,worms+ncbi,authority_depth_disagreement,pyrocystis pseudonoctiluca,aphia_ID+NCBI_ID,573782+2971,pyrocystis pseudonoctiluca,pyrocystis,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
2ba1db34a699,WARN,worms+ncbi,authority_depth_disagreement,radiozoa,aphia_ID+NCBI_ID,582421+543769,radiozoa,rhizaria,7,jedioceans;medplanktonset;planktonset1.0;planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
e9c9c540ff11,WARN,worms+ncbi,authority_depth_disagreement,rhabdonellopsis,aphia_ID+NCBI_ID,183550+211026,rhabdonellopsis,rhabdonellidae,3,planktoscope;tara_pacific_bongo;tara_pacific_decknet,the two registers resolve the row's identifiers to different depths of the same lineage
cb9fe0b05672,WARN,worms+ncbi,authority_depth_disagreement,rhabdosphaera clavigera,aphia_ID+NCBI_ID,235972+418941,rhabdosphaera clavigera,rhabdosphaeraceae,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
49a88c351fbf,WARN,worms+ncbi,authority_depth_disagreement,rhincalanidae,aphia_ID+NCBI_ID,345271+6833,rhincalanidae,calanoida,2,tara_pacific_hsn;zooscan,the two registers resolve the row's identifiers to different depths of the same lineage
957a8bff5cbf,WARN,worms+ncbi,authority_depth_disagreement,sessilia,aphia_ID+NCBI_ID,106033+116172,sessilia,thecostraca,1,sykezooscan2024,the two registers resolve the row's identifiers to different depths of the same lineage
a487ab34bf41,WARN,worms+ncbi,authority_depth_disagreement,strombidium wulffi,aphia_ID+NCBI_ID,101344+60005,strombidium wulffi,strombidium,1,whoi,the two registers resolve the row's identifiers to different depths of the same lineage
6e2ae97eb965,WARN,worms+ncbi,authority_depth_disagreement,tenuicylindrus belgicus,aphia_ID+NCBI_ID,149037+1398096,leptocylindraceae,tenuicylindrus belgicus,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
83c987cba641,WARN,worms+ncbi,authority_depth_disagreement,thalassionematales,aphia_ID+NCBI_ID,149090+33849,thalassionematales,bacillariophyceae,4,flowcamnet;planktoscope;tara_pacific_bongo;tara_pacific_decknet,the two registers resolve the row's identifiers to different depths of the same lineage
a240a96e722e,WARN,worms+ncbi,authority_depth_disagreement,thalassiosira levanderi,aphia_ID+NCBI_ID,149308+35127,thalassiosira levanderi,thalassiosira,1,syke_ifcb_2022,the two registers resolve the row's identifiers to different depths of the same lineage
68bd7c998882,WARN,worms+ncbi,authority_depth_disagreement,tontonia appendiculariformis,aphia_ID+NCBI_ID,101345+641220,tontonia appendiculariformis,tontoniidae,1,whoi,the two registers resolve the row's identifiers to different depths of the same lineage
a4c77d38b508,WARN,worms+ncbi,authority_depth_disagreement,tripos arcticus,aphia_ID+NCBI_ID,836815+2126447,tripos arcticus,tripos,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
cf1da7235321,WARN,worms+ncbi,authority_depth_disagreement,tripos incisus,aphia_ID+NCBI_ID,841251+2126447,tripos incisus,tripos,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
9bd498050eb1,WARN,worms+ncbi,authority_depth_disagreement,warnowia polyphemus,aphia_ID+NCBI_ID,233144+651390,warnowia polyphemus,warnowia,1,medplanktonset,the two registers resolve the row's identifiers to different depths of the same lineage
533330a9dad5,WARN,worms+ncbi,authority_depth_disagreement,xystonellopsis,aphia_ID+NCBI_ID,416150+211023,xystonellopsis,xystonellidae,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
a94a9e9b4031,WARN,worms+ncbi,authority_depth_disagreement,xystonellopsis paradoxa,aphia_ID+NCBI_ID,417268+211023,xystonellopsis paradoxa,xystonellidae,1,planktoscope,the two registers resolve the row's identifiers to different depths of the same lineage
c1819fae2b85,WARN,worms,id_reused_across_taxa,asplanchna,aphia_ID,134935,asplanchna;asplanchna priodonta;asplanchna sieboldi,(one identifier denotes one taxon),0,"",3 distinct planktonzilla labels share this identifier
b46d7ef60ab4,WARN,ncbi,id_reused_across_taxa,asplanchna,NCBI_ID,84396,asplanchna;asplanchna priodonta;asplanchna sieboldi,(one identifier denotes one taxon),0,"",3 distinct planktonzilla labels share this identifier
8df832aab617,WARN,wikidata,id_reused_across_taxa,asplanchna,wikidata_ID,Q737675,asplanchna;asplanchna priodonta;asplanchna sieboldi,(one identifier denotes one taxon),0,"",3 distinct planktonzilla labels share this identifier
42bf56191d48,WARN,ncbi,id_reused_across_taxa,asterionella,NCBI_ID,35129,asterionella;asterionella bleakeleyi,(one identifier denotes one taxon),0,"",2 distinct planktonzilla labels share this identifier
c9986fa43aa0,WARN,ncbi,id_reused_across_taxa,asteromphalus,NCBI_ID,1529359,asteromphalus;asteromphalus sarcophagus,(one identifier denotes one taxon),0,"",2 distinct planktonzilla labels share this identifier
7d3af75f4451,WARN,ncbi,id_reused_across_taxa,bacillariophyceae,NCBI_ID,33849,bacillariophyceae;centrales;neomoelleria cornuta;pennales;thalassionematales,(one identifier denotes one taxon),0,"",5 distinct planktonzilla labels share this identifier
657daad4cdce,WARN,wikidata,id_reused_across_taxa,bacillariophyceae,wikidata_ID,Q2878349,bacillariophyceae;neomoelleria cornuta,(one identifier denotes one taxon),0,"",2 distinct planktonzilla labels share this identifier
391603e7c31f,WARN,worms,id_reused_across_taxa,bivalvia,aphia_ID,105,bivalvia;cladoceramus,(one identifier denotes one taxon),0,"",2 distinct planktonzilla labels share this identifier
