finding_id	check	severity	resource	locator	subject	category	reason
4ce3178536de	id_shared_across_branches	WARN	identifier	bold:317197	pzt:001092;pzt:001093;pzt:001110	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 3 concepts hold bold:317197 as skos:exactMatch and they sit on different branches beneath pzt:001091 ceratiaceae (family), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:001091 `ceratiaceae` is an interior concept with no published row, so attaching the id there and re-predicating the 3 holders moves no published byte. Holders: pzt:001092 ceratium; pzt:001093 ceratium hirundinella; pzt:001110 tripos gravidus.
024cc0fe0024	id_shared_across_branches	WARN	identifier	bold:730257	pzt:000862;pzt:000865	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 2 concepts hold bold:730257 as skos:exactMatch and they sit on different branches beneath pzt:000859 syracosphaerales (order), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:000859 `syracosphaerales` is an interior concept with no published row, so attaching the id there and re-predicating the 2 holders moves no published byte. Holders: pzt:000862 calciosolenia brasiliensis; pzt:000865 discosphaera tubifera.
a736d07f1c1b	id_shared_across_branches	WARN	identifier	bold:886874	pzt:000682;pzt:000683	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 2 concepts hold bold:886874 as skos:exactMatch and they sit on different branches beneath pzt:000680 phaeocalpida (order), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:000680 `phaeocalpida` is an interior concept with no published row, so attaching the id there and re-predicating the 2 holders moves no published byte. Holders: pzt:000682 circoporidae; pzt:000683 tuscaroridae.
433fb2bc953c	id_shared_across_branches	WARN	identifier	bold:99173	pzt:000815;pzt:000830	coarse_identifier_no_anchor	Coarse propagation with no anchor, not two taxa stamped with one id. 2 concepts hold bold:99173 as skos:exactMatch and they sit on different branches beneath pzt:000814 cryptophyta (phylum), which does not itself hold the id -- so step 7's re-predication had nothing to be broader THAN and left them reported. 59 distinct BOLD ids in this table already carry skos:broadMatch, so a BOLD id coarser than the row it sits on is this column's established behaviour. What committed evidence cannot settle is which concept the id names: no row in the Wikidata snapshot claims this BOLD id, so BOLD itself has to be asked. If the answer is the common ancestor, the correction is the one applied to ncbi:418932 and ncbi:418941 -- attach there as exactMatch, re-predicate the holders -- and pzt:000814 `cryptophyta` is an interior concept with no published row, so attaching the id there and re-predicating the 2 holders moves no published byte. Holders: pzt:000815 cryptophyceae; pzt:000830 katablepharis remigera.
c1f941610b03	id_shared_across_branches	WARN	identifier	ncbi:2723146	pzt:001142;pzt:001145	nomenclature_drift	One organism under two names, settled by the committed authority snapshot: WoRMS has aphia 110045 ('Gonyaulax verior') as a junior subjective synonym whose valid name is 'Sourniaea diacantha', which is the other holder (aphia 1760858, accepted); and NCBI's own record for taxid 2723146 is Sourniaea diacantha. The taxid is therefore correct on BOTH rows -- this is the `heterocapsa_triquetra` shape, not a collision of distinct taxa. KI-13 listed it among the genuine collisions; that reading is superseded. Normalising the table onto the accepted name would move published lineage cells, so it stays gated.
da35477fcdc0	id_shared_across_branches	WARN	identifier	ncbi:2856	pzt:000888;pzt:000948	nomenclature_drift	The synonym pair KI-13 already names as a non-defect: 'ceratoneis closterium' and 'cylindrotheca closterium' are one organism sharing one taxid, and NCBI's record for 2856 is Cylindrotheca closterium. The committed WoRMS snapshot has aphia 149004 (Cylindrotheca closterium) accepted and aphia 163932 (Ceratoneis closterium) unassessed, so the register does not contradict the pairing either. The taxid is correct on both rows; only the two genus placements differ, which is a published lineage and gated.
4d13f504dc8a	id_shared_across_branches	WARN	identifier	ncbi:655800	pzt:001055;pzt:001060	nomenclature_drift	Odontella mobiliensis and Trieres mobiliensis are one organism under two names -- the same epithet, and NCBI's own record for taxid 655800 is 'Trieres mobiliensis'. The committed WoRMS snapshot leaves both aphia records (164116, 839991) 'unassessed', so it neither confirms nor contradicts the transfer; NCBI does. The taxid is correct on both rows. Normalising onto one name moves published cells and is gated.
7f792fce0d79	id_shared_across_branches	WARN	identifier	ncbi:66468	pzt:001192;pzt:001205	nomenclature_drift	Already adjudicated on the horizontal axis as finding 95d0c4ebc2b9 in waivers/horizontal.tsv (`nomenclature_drift`), and the same verdict holds here: the committed WoRMS snapshot has aphia 110153 ('Heterocapsa triquetra') unaccepted with valid name 'Kryptoperidinium triquetrum', which is the other holder, and NCBI's record for 66468 is Kryptoperidinium triquetrum. One organism, two names, one correct taxid on both rows. Normalising the table onto the accepted name is a published-lineage change and gated.
10b32a55d26d	id_shared_across_branches	WARN	identifier	wikidata:Q25364681	pzt:001166;pzt:001228	defect_wrong_identifier	The one collision the snapshot decides outright, and it names the wrong side. Wikidata's own record for Q25364681 is 'Torodinium', rank genus, worms 109479 -- which is pzt:001166 exactly. pzt:001228 ('kapelodinium vestifici', worms 1368615, a different genus in a different order) carries the same QID wrongly, almost certainly inherited from the basionym Torodinium vestifici. The correction is mechanical: clear the wikidata_ID on the kapelodinium row (`pz_taxonomy clear-id`), which moves a published cell and is therefore gated on the golden diff. This is the '1 genuine collision' KI-13 records for wikidata.
8e60747378c1	lineage_name_repeat	WARN	taxon	pzt:000826	cryptophyta	frozen_defect	KI-8: the same name occupies two or three of the seven legacy rank slots on one row, so the tree it implies has a node whose own name repeats above it. Frozen as-is -- correcting it moves published rank cells and renumbers the training vocabulary. The node is real; only the duplication of its name up the lineage is the defect.
bef546443230	lineage_name_repeat	WARN	taxon	pzt:000893	bacillariophyceae	frozen_defect	KI-8: the same name occupies two or three of the seven legacy rank slots on one row, so the tree it implies has a node whose own name repeats above it. Frozen as-is -- correcting it moves published rank cells and renumbers the training vocabulary. The node is real; only the duplication of its name up the lineage is the defect.
278bbe6380d4	lineage_name_repeat	WARN	taxon	pzt:000894	bacillariophyceae	frozen_defect	KI-8: the same name occupies two or three of the seven legacy rank slots on one row, so the tree it implies has a node whose own name repeats above it. Frozen as-is -- correcting it moves published rank cells and renumbers the training vocabulary. The node is real; only the duplication of its name up the lineage is the defect.
2107029ef38e	lineage_name_repeat	WARN	taxon	pzt:001066	dinophyceae	frozen_defect	KI-8: the same name occupies two or three of the seven legacy rank slots on one row, so the tree it implies has a node whose own name repeats above it. Frozen as-is -- correcting it moves published rank cells and renumbers the training vocabulary. The node is real; only the duplication of its name up the lineage is the defect.
3d43ff5e1614	lineage_name_repeat	WARN	taxon	pzt:001248	florenciellales	frozen_defect	KI-8: the same name occupies two or three of the seven legacy rank slots on one row, so the tree it implies has a node whose own name repeats above it. Frozen as-is -- correcting it moves published rank cells and renumbers the training vocabulary. The node is real; only the duplication of its name up the lineage is the defect.
f5a085e2ddf8	name_not_lowercase	WARN	taxon	pzt:000001	Eukaryota	frozen_defect	KI-9: `Eukaryota` is a domain, which the seven legacy slots cannot hold, so it is published with every rank column blank and its name kept in the source's own casing. Frozen: lowercasing it changes a published `proposed_label` and moves the row in the collation order the frozen prefix obeys.
