finding_id	check	authority	taxon_id	proposed_label	id_column	id_value	csv_value	authority_value	category	reason
da0e00f1a7ce	ncbi_lineage_contradiction	ncbi	pzt:000968	leptocylindrus mediterraneus	NCBI_ID	1785165	Species=leptocylindrus mediterraneus	(absent from chain)	nomenclature_drift	three-way naming difference for one basionym: the CSV keeps Leptocylindrus mediterraneus, WoRMS 149230 redirects to Lauderia mediterranea and NCBI 1785165 gives Dactyliosolen mediterraneus. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
48ec601bd71c	ncbi_name_mismatch	ncbi	pzt:000968	leptocylindrus mediterraneus	NCBI_ID	1785165	leptocylindrus mediterraneus	Dactyliosolen mediterraneus	nomenclature_drift	three-way naming difference for one basionym: the CSV keeps Leptocylindrus mediterraneus, WoRMS 149230 redirects to Lauderia mediterranea and NCBI 1785165 gives Dactyliosolen mediterraneus. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
fef39517e84c	authority_name_disagreement	worms+ncbi	pzt:001032	lioloma pacificum	aphia_ID+NCBI_ID	418646+3471099	lioloma pacificum	lioloma cf. pacificum	nomenclature_drift	NCBI 3471099 records the taxon under the provisional name 'Lioloma cf. pacificum'; WoRMS 418646 gives Lioloma pacificum outright. Same organism, NCBI's qualifier differs. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
7447c8260e6c	ncbi_lineage_contradiction	ncbi	pzt:001032	lioloma pacificum	NCBI_ID	3471099	Species=lioloma pacificum	(absent from chain)	nomenclature_drift	NCBI 3471099 records the taxon under the provisional name 'Lioloma cf. pacificum'; WoRMS 418646 gives Lioloma pacificum outright. Same organism, NCBI's qualifier differs. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
cdfc35605762	ncbi_name_mismatch	ncbi	pzt:001032	lioloma pacificum	NCBI_ID	3471099	lioloma pacificum	Lioloma cf. pacificum	nomenclature_drift	NCBI 3471099 records the taxon under the provisional name 'Lioloma cf. pacificum'; WoRMS 418646 gives Lioloma pacificum outright. Same organism, NCBI's qualifier differs. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
8a4856b3d92f	worms_lineage_contradiction	worms	pzt:000981	mediopyxis	aphia_ID	345484	Class=bacillariophyceae	(absent from chain)	register_silence	WoRMS 345484 publishes an abbreviated classification (Biota > Chromista > Bacillariophyta > Mediopyxis) with no class, order or family; NCBI 327390 confirms the CSV's Lithodesmiales > Lithodesmiaceae. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
aba33cc74794	worms_lineage_contradiction	worms	pzt:000981	mediopyxis	aphia_ID	345484	Family=lithodesmiaceae	(absent from chain)	register_silence	WoRMS 345484 publishes an abbreviated classification (Biota > Chromista > Bacillariophyta > Mediopyxis) with no class, order or family; NCBI 327390 confirms the CSV's Lithodesmiales > Lithodesmiaceae. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
7e9225405c7a	worms_lineage_contradiction	worms	pzt:000981	mediopyxis	aphia_ID	345484	Order=lithodesmiales	(absent from chain)	register_silence	WoRMS 345484 publishes an abbreviated classification (Biota > Chromista > Bacillariophyta > Mediopyxis) with no class, order or family; NCBI 327390 confirms the CSV's Lithodesmiales > Lithodesmiaceae. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
2bf56a00c486	worms_lineage_contradiction	worms	pzt:000981	mediopyxis	aphia_ID	345484	Phylum=heterokontophyta	(absent from chain)	register_silence	WoRMS 345484 publishes an abbreviated classification (Biota > Chromista > Bacillariophyta > Mediopyxis) with no class, order or family; NCBI 327390 confirms the CSV's Lithodesmiales > Lithodesmiaceae. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
2ea903bd1e53	ncbi_lineage_contradiction	ncbi	pzt:001055	odontella mobiliensis	NCBI_ID	655800	Genus=odontella	(absent from chain)	nomenclature_drift	NCBI 655800 places the species in Trieres (Trieres mobiliensis) while WoRMS 164116 keeps Odontella mobiliensis, which the CSV follows. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
4375c1ec3742	ncbi_lineage_contradiction	ncbi	pzt:001055	odontella mobiliensis	NCBI_ID	655800	Species=odontella mobiliensis	(absent from chain)	nomenclature_drift	NCBI 655800 places the species in Trieres (Trieres mobiliensis) while WoRMS 164116 keeps Odontella mobiliensis, which the CSV follows. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
a2e6bbf433f4	ncbi_lineage_contradiction	ncbi	pzt:001056	odontella sinensis	NCBI_ID	1514140	Genus=odontella	(absent from chain)	nomenclature_drift	NCBI 1514140 gives Trieres chinensis and WoRMS 149095 redirects to Biddulphia sinensis; the CSV keeps the Odontella combination. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
323af84a8929	ncbi_lineage_contradiction	ncbi	pzt:001056	odontella sinensis	NCBI_ID	1514140	Species=odontella sinensis	(absent from chain)	nomenclature_drift	NCBI 1514140 gives Trieres chinensis and WoRMS 149095 redirects to Biddulphia sinensis; the CSV keeps the Odontella combination. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
179b9249c58c	wikidata_name_mismatch	wikidata	pzt:001269	polycystina	wikidata_ID	Q3314313	polycystina	Polycystinea	nomenclature_drift	Q3314313 carries the P225 taxon name Polycystinea, matching NCBI, while WoRMS 235740 gives Polycystina. A register-level spelling difference for the same class. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
19fcf45613d2	worms_lineage_contradiction	worms	pzt:001188	pseliodinium fusus	aphia_ID	1474876	Class=dinophyceae	(absent from chain)	register_silence	WoRMS 1474876 places the species in 'Dinoflagellata incertae sedis' with no class, order or family; NCBI 2893593 corroborates the Ceratoperidiniaceae the CSV asserts. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
49ae527cb9ca	worms_lineage_contradiction	worms	pzt:001188	pseliodinium fusus	aphia_ID	1474876	Family=ceratoperidiniaceae	(absent from chain)	register_silence	WoRMS 1474876 places the species in 'Dinoflagellata incertae sedis' with no class, order or family; NCBI 2893593 corroborates the Ceratoperidiniaceae the CSV asserts. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
e36cf921d886	worms_lineage_contradiction	worms	pzt:001188	pseliodinium fusus	aphia_ID	1474876	Order=peridiniales	(absent from chain)	register_silence	WoRMS 1474876 places the species in 'Dinoflagellata incertae sedis' with no class, order or family; NCBI 2893593 corroborates the Ceratoperidiniaceae the CSV asserts. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
30081f26ca19	authority_name_disagreement	worms+ncbi	pzt:000341	pyrosomatida	aphia_ID+NCBI_ID	137213+76842	pyrosomatida	pyrosomata	nomenclature_drift	WoRMS and Wikidata use the order name Pyrosomatida, NCBI uses Pyrosomata. Both sit at Thaliacea in the same chain. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
25e5b60f390c	ncbi_name_mismatch	ncbi	pzt:000341	pyrosomatida	NCBI_ID	76842	pyrosomatida	Pyrosomata	nomenclature_drift	WoRMS and Wikidata use the order name Pyrosomatida, NCBI uses Pyrosomata. Both sit at Thaliacea in the same chain. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
8de70dc65dd2	ncbi_name_mismatch	ncbi	pzt:001264	radiozoa	NCBI_ID	543769	radiozoa	Rhizaria	defect_wrong_identifier	NCBI_ID 543769 is the clade Rhizaria, which WoRMS places one level ABOVE Radiozoa in the same chain, so the taxid names the parent rather than the row's taxon. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
8a0115193709	worms_lineage_contradiction	worms	pzt:000128	simocephalus serrulatus	aphia_ID	412852	Family=daphniida	(absent from chain)	defect_csv_cell	the CSV Family 'daphniida' is not a family name: WoRMS and NCBI both place Simocephalus in Daphniidae. The species identifiers are correct. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
8bb81d2e594b	worms_lineage_contradiction	worms	pzt:000129	simocephalus vetulus	aphia_ID	148404	Family=daphniida	(absent from chain)	defect_csv_cell	the CSV Family 'daphniida' is not a family name: WoRMS and NCBI both place Simocephalus in Daphniidae. The species identifiers are correct. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
66dc9e45ee86	ncbi_lineage_contradiction	ncbi	pzt:000182	sinodiaptomus valkano	NCBI_ID	555049	Species=sinodiaptomus valkano	(absent from chain)	defect_csv_cell	the CSV Species epithet is truncated: WoRMS 360601, NCBI 555049 and Q14343118 all give Sinodiaptomus valkanovi. The three identifiers are correct and mutually consistent; only the CSV label is wrong. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
32f45b2cc88e	ncbi_name_mismatch	ncbi	pzt:000182	sinodiaptomus valkano	NCBI_ID	555049	sinodiaptomus valkano	Sinodiaptomus valkanovi	defect_csv_cell	the CSV Species epithet is truncated: WoRMS 360601, NCBI 555049 and Q14343118 all give Sinodiaptomus valkanovi. The three identifiers are correct and mutually consistent; only the CSV label is wrong. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
f48c10c0e924	wikidata_name_mismatch	wikidata	pzt:000182	sinodiaptomus valkano	wikidata_ID	Q14343118	sinodiaptomus valkano	Sinodiaptomus valkanovi	defect_csv_cell	the CSV Species epithet is truncated: WoRMS 360601, NCBI 555049 and Q14343118 all give Sinodiaptomus valkanovi. The three identifiers are correct and mutually consistent; only the CSV label is wrong. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
e7ffcd97b0aa	worms_lineage_contradiction	worms	pzt:000182	sinodiaptomus valkano	aphia_ID	360601	Species=sinodiaptomus valkano	(absent from chain)	defect_csv_cell	the CSV Species epithet is truncated: WoRMS 360601, NCBI 555049 and Q14343118 all give Sinodiaptomus valkanovi. The three identifiers are correct and mutually consistent; only the CSV label is wrong. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
6d3f92725eaa	worms_name_mismatch	worms	pzt:000182	sinodiaptomus valkano	aphia_ID	360601	sinodiaptomus valkano	Sinodiaptomus valkanovi	defect_csv_cell	the CSV Species epithet is truncated: WoRMS 360601, NCBI 555049 and Q14343118 all give Sinodiaptomus valkanovi. The three identifiers are correct and mutually consistent; only the CSV label is wrong. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
74164a749451	ncbi_lineage_contradiction	ncbi	pzt:000802	tontonia gracillima	NCBI_ID	641222	Genus=tontonia	(absent from chain)	nomenclature_drift	WoRMS 101347 is unaccepted for Paratontonia gracillima and NCBI 641222 gives that current name; the CSV retains Tontonia. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
a5ddb55fca83	ncbi_lineage_contradiction	ncbi	pzt:000802	tontonia gracillima	NCBI_ID	641222	Species=tontonia gracillima	(absent from chain)	nomenclature_drift	WoRMS 101347 is unaccepted for Paratontonia gracillima and NCBI 641222 gives that current name; the CSV retains Tontonia. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
ccf225d6fc7d	worms_lineage_contradiction	worms	pzt:000732	vorticella	aphia_ID	163573	Order=peritrichida	(absent from chain)	nomenclature_drift	WoRMS and NCBI both place Vorticella in the subclass Peritrichia and the order Sessilida; the CSV's Order cell holds the subclass name under the variant spelling 'peritrichida'. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
452766ac8c85	authority_name_disagreement	worms+ncbi	pzt:000737	zoothamniidae	aphia_ID+NCBI_ID	235773+168255	zoothamniidae	zoothamnidae	nomenclature_drift	orthographic variant between registers: WoRMS 235773 gives Zoothamniidae, NCBI 168255 gives Zoothamnidae, both under Peritrichia > Sessilida. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
32898df17b9d	ncbi_name_mismatch	ncbi	pzt:000737	zoothamniidae	NCBI_ID	168255	zoothamniidae	Zoothamnidae	nomenclature_drift	orthographic variant between registers: WoRMS 235773 gives Zoothamniidae, NCBI 168255 gives Zoothamnidae, both under Peritrichia > Sessilida. Recorded rather than corrected: the table and the datasets derived from it are published and frozen on HuggingFace Hub.
